MonthYear,Ticker,Daily_Return
Feb-2024,INFY,0.30568859841704554
Feb-2024,ITC,-11.736229394758622
Feb-2024,JSWSTEEL,-9.55711892476583
Feb-2024,KOTAKBANK,-12.384630400482894
Feb-2024,LT,-2.698035241444493
Feb-2024,M&M,9.61239980836391
Feb-2024,MARUTI,11.708752249530683
Feb-2024,NESTLEIND,-1.848984959884158
Feb-2024,NTPC,-4.7314416162529485
Feb-2024,ONGC,2.1087755057179187
Feb-2024,POWERGRID,9.810554225955816
Feb-2024,RELIANCE,-1.689162869264202
Feb-2024,SBILIFE,5.389519470651359
Feb-2024,SBIN,12.650696860502778
Feb-2024,SHRIRAMFIN,-2.6439033832715175
Feb-2024,SUNPHARMA,6.462710696923469
Feb-2024,TATACONSUM,4.666802522023505
Feb-2024,TATAMOTORS,-5.359865438255003
Feb-2024,TATASTEEL,-4.415728669333971
Feb-2024,TCS,6.790352834839279
Feb-2024,TECHM,-8.615795903179144
Feb-2024,TITAN,-6.802438549644478
Feb-2024,TRENT,16.73121298520263
Feb-2024,ULTRACEMCO,-7.014274485991111
Feb-2024,WIPRO,4.215083726764792
Jan-2024,ADANIENT,-2.9494153705823036
Jan-2024,ADANIPORTS,3.401600398124459
Jan-2024,APOLLOHOSP,4.79278195582035
Jan-2024,ASIANPAINT,-15.82293062222331
Jan-2024,AXISBANK,5.9331371172028575
Jan-2024,BAJAJ-AUTO,3.5225345785202284
Jan-2024,BAJAJFINSV,-7.827055473544591
Jan-2024,BAJFINANCE,-7.1020739587844925
Jan-2024,BEL,-7.271376562650498
Jan-2024,BHARTIARTL,10.022045796610552
Jan-2024,BPCL,3.841745864568553
Jan-2024,BRITANNIA,-4.958599854773563
Jan-2024,CIPLA,-2.604694397636872
Jan-2024,COALINDIA,-7.065957955634094
Jan-2024,DRREDDY,1.0996215294098257
Jan-2024,EICHERMOT,-8.717547891924252
Jan-2024,GRASIM,-2.855973496889418
Jan-2024,HCLTECH,-0.8914627428047655
Jan-2024,HDFCBANK,-4.396630766364614
Jan-2024,HDFCLIFE,-13.803055925829199
Jan-2024,HEROMOTOCO,15.155183148251096
Jan-2024,HINDALCO,-8.50594687746316
Jan-2024,HINDUNILVR,-4.604476777594058
Jan-2024,ICICIBANK,-0.6016161128994406
Jan-2024,INDUSINDBK,-5.112332087489782
Jan-2024,INFY,0.12321163355298093
Jan-2024,ITC,-9.731355412581609
Jan-2024,JSWSTEEL,-14.19258243834995
Jan-2024,KOTAKBANK,-6.022836102363522
Jan-2024,LT,-1.4426681286149576
Jan-2024,M&M,-10.500889770379837
Jan-2024,MARUTI,-0.9299493598345698
Jan-2024,NESTLEIND,-13.987834932068512
Jan-2024,NTPC,-9.420883335633762
Jan-2024,ONGC,7.840199114882274
Jan-2024,POWERGRID,10.371977528915103
Jan-2024,RELIANCE,8.044796567116355
Jan-2024,SBILIFE,-4.883938828219212
Jan-2024,SBIN,-3.12146946190256
Jan-2024,SHRIRAMFIN,7.800958332869016
Jan-2024,SUNPHARMA,9.169940843263914
Jan-2024,TATACONSUM,-3.922698605836365
Jan-2024,TATAMOTORS,2.046819979236443
Jan-2024,TATASTEEL,-11.07374297632166
Jan-2024,TCS,-7.390821020952233
Jan-2024,TECHM,0.20655642494304205
Jan-2024,TITAN,-4.7214428615397335
Jan-2024,TRENT,-6.841617975231128
Jan-2024,ULTRACEMCO,-10.432150347928427
Jan-2024,WIPRO,-11.842322549603779
Jul-2024,ADANIENT,-4.207187893247334
Jul-2024,ADANIPORTS,1.7053808994695057
Jul-2024,APOLLOHOSP,3.842834612095359
Jul-2024,ASIANPAINT,9.289511371478842
Jul-2024,AXISBANK,-2.7249659911254804
Jul-2024,BAJAJ-AUTO,-2.796492460631116
Jul-2024,BAJAJFINSV,2.8864455381260585
Jul-2024,BAJFINANCE,-6.0952458465621495
Jul-2024,BEL,-9.30709001560187
Jul-2024,BHARTIARTL,-0.13718069632607488
Jul-2024,BPCL,6.745191148844615
Jul-2024,BRITANNIA,-0.3879867363986811
Jul-2024,CIPLA,3.3225390334228693
Jul-2024,COALINDIA,2.1154721020096616
Jul-2024,DRREDDY,4.255528906232474
Jul-2024,EICHERMOT,9.765984488613476
Jul-2024,GRASIM,2.5933681491838043
Jul-2024,HCLTECH,8.233028399665345
Jul-2024,HDFCBANK,-1.1657066159749894
Jul-2024,HDFCLIFE,19.084680797262195
Jul-2024,HEROMOTOCO,-6.254562394598568
Jul-2024,HINDALCO,-8.538522869116889
Jul-2024,HINDUNILVR,7.754781830730305
Jul-2024,ICICIBANK,1.1223191695365777
Jul-2024,INDUSINDBK,-1.6067496931395053
Jul-2024,INFY,9.55787428981871
Jul-2024,ITC,11.748466171510701
Jul-2024,JSWSTEEL,-0.962648485051071
Jul-2024,KOTAKBANK,1.2540926739517146
Jul-2024,LT,2.6497591149638104
Jul-2024,M&M,-2.570459736922772
Jul-2024,MARUTI,4.030684840115975
Jul-2024,NESTLEIND,-7.8905163375995775
Jul-2024,NTPC,-0.7733389781715003
Jul-2024,ONGC,13.402452202077724
Jul-2024,POWERGRID,7.0841248669465715
Jul-2024,RELIANCE,-2.3789992296171554
Jul-2024,SBILIFE,17.685497599521778
Jul-2024,SBIN,1.1270390433617508
Jul-2024,SHRIRAMFIN,-0.9935240022608486
Jul-2024,SUNPHARMA,13.24384610211894
Jul-2024,TATACONSUM,5.760724929346034
Jul-2024,TATAMOTORS,8.744017518499366
Jul-2024,TATASTEEL,-13.056914866170251
Jul-2024,TCS,8.136763472548111
Jul-2024,TECHM,5.732137468995853
Jul-2024,TITAN,2.6744085338916177
Jul-2024,TRENT,2.025399887799047
Jul-2024,ULTRACEMCO,-1.4455369316439795
Jul-2024,WIPRO,-0.1277482902863033
Jun-2024,ADANIENT,-20.13217899044824
Jun-2024,ADANIPORTS,-12.130850052031986
Jun-2024,APOLLOHOSP,1.1373847478663168
Jun-2024,ASIANPAINT,-0.3999933534179778
Jun-2024,AXISBANK,-1.60854356545821
Jun-2024,BAJAJ-AUTO,3.8558769227255443
Jun-2024,BAJAJFINSV,-2.1445559498599467
Jun-2024,BAJFINANCE,-1.0886518967446834
Jun-2024,BEL,-16.320113654206192
Jun-2024,BHARTIARTL,-8.32283541112462
Jun-2024,BPCL,-24.82827445034268
Jun-2024,BRITANNIA,2.20519427988733
Jun-2024,CIPLA,-6.847616285803668
Jun-2024,COALINDIA,-18.76603013520928
Jun-2024,DRREDDY,7.920048974291233
Jun-2024,EICHERMOT,-4.826339171091158
Jun-2024,GRASIM,14.310787051772891
Jun-2024,HCLTECH,-1.4654805825759236
Jun-2024,HDFCBANK,4.107156791454409
Jun-2024,HDFCLIFE,2.7973109876365845
Jun-2024,HEROMOTOCO,2.937875408677916
Jun-2024,HINDALCO,-2.7416990187835806
Jun-2024,HINDUNILVR,3.244507077493218
Jun-2024,ICICIBANK,-3.2507559414729315
Jun-2024,INDUSINDBK,-2.831121261522794
Jun-2024,INFY,2.4023713715248918
Jun-2024,ITC,-5.016113110335756
Jun-2024,JSWSTEEL,0.8516963181728403
Jun-2024,KOTAKBANK,3.599216856984992
Jun-2024,LT,-10.465286041416414
Jun-2024,M&M,8.156082414332905
Jun-2024,MARUTI,-8.194448716373715
Jun-2024,NESTLEIND,2.521888570008437
Jun-2024,NTPC,-11.904150747212412
Jun-2024,ONGC,-16.061546629173506
Jun-2024,POWERGRID,-6.485654974533939
Jun-2024,RELIANCE,3.2809094625050435
Jun-2024,SBILIFE,1.4180475599021203
Jun-2024,SBIN,-5.725475497736964
Jun-2024,SHRIRAMFIN,12.66712277538771
Jun-2024,SUNPHARMA,-4.655050299815295
Jun-2024,TATACONSUM,-3.437848161051144
Jun-2024,TATAMOTORS,-5.335370222541751
Jun-2024,TATASTEEL,-2.683982575058432
Jun-2024,TCS,2.237157614801751
Jun-2024,TECHM,4.471877766953593
Jun-2024,TITAN,0.6915821718495655
Jun-2024,TRENT,1.492268964851191
Jun-2024,ULTRACEMCO,8.778572700208386
Jun-2024,WIPRO,4.875180181212039
Mar-2024,ADANIENT,-6.269842484165791
